1,Female,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Monthly,Yes,Automatic,80.50,966.00
2,Male,0,No,Yes,24,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Manual,49.95,1198.80
3,Male,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Automatic,120.75,4347.30
4,Female,0,No,No,6,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Monthly,No,Manual,40.85,245.10
5,Female,0,Yes,Yes,16,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Monthly,Yes,Automatic,92.10,1473.60
6,Male,0,No,Yes,5,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Manual,65.25,406.20
7,Male,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Monthly,Yes,Manual,58.50,468.00
8,Female,0,Yes,No,11,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Automatic,85.40,939.40
9,Female,0,Yes,Yes,28,No,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Manual,110.95,3106.80
10,Male,0,No,No,13,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Monthly,No,Automatic,76.30,992.50
11,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Manual,101.00,3537.00
12,Female,0,No,Yes,20,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Manual,57.20,1132.40
13,Male,0,Yes,No,45,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Monthly,Yes,Automatic,99.85,4493.80
14,Female,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Monthly,No,Manual,41.50,124.50
15,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Manual,62.30,436.10
16,Male,0,Yes,No,9,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Monthly,Yes,Automatic,50.75,457.50
17,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Manual,88.00,2640.00
18,Female,0,No,Yes,18,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Monthly,Yes,Automatic,95.60,1726.80
19,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Manual,120.00,1200.00
20,Male,0,Yes,Yes,22,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Manual,54.30,1195.40
21,Male,0,Yes,Yes,33,No,No,Fiber optic,No,No,Yes,Yes,No,No,Monthly,No,Automatic,97.78,71.11
